,index,Depth Path,Image Path,Instance Segmentation Path,Semantic Segmentation Path
0,0,hypersim_data/ai_041_003/images/scene_cam_00_geometry_hdf5/frame.0005.depth_meters.hdf5,hypersim_data/ai_041_003/images/scene_cam_00_final_preview/frame.0005.color.jpg,hypersim_data/ai_041_003/images/scene_cam_00_geometry_hdf5/frame.0005.semantic_instance.hdf5,hypersim_data/ai_041_003/images/scene_cam_00_geometry_hdf5/frame.0005.semantic.hdf5
1,1,hypersim_data/ai_003_002/images/scene_cam_01_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_003_002/images/scene_cam_01_final_preview/frame.0035.color.jpg,hypersim_data/ai_003_002/images/scene_cam_01_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_003_002/images/scene_cam_01_geometry_hdf5/frame.0035.semantic.hdf5
2,2,hypersim_data/ai_023_002/images/scene_cam_01_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_023_002/images/scene_cam_01_final_preview/frame.0035.color.jpg,hypersim_data/ai_023_002/images/scene_cam_01_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_023_002/images/scene_cam_01_geometry_hdf5/frame.0035.semantic.hdf5
3,3,hypersim_data/ai_008_007/images/scene_cam_01_geometry_hdf5/frame.0045.depth_meters.hdf5,hypersim_data/ai_008_007/images/scene_cam_01_final_preview/frame.0045.color.jpg,hypersim_data/ai_008_007/images/scene_cam_01_geometry_hdf5/frame.0045.semantic_instance.hdf5,hypersim_data/ai_008_007/images/scene_cam_01_geometry_hdf5/frame.0045.semantic.hdf5
4,4,hypersim_data/ai_027_008/images/scene_cam_00_geometry_hdf5/frame.0000.depth_meters.hdf5,hypersim_data/ai_027_008/images/scene_cam_00_final_preview/frame.0000.color.jpg,hypersim_data/ai_027_008/images/scene_cam_00_geometry_hdf5/frame.0000.semantic_instance.hdf5,hypersim_data/ai_027_008/images/scene_cam_00_geometry_hdf5/frame.0000.semantic.hdf5
5,5,hypersim_data/ai_048_007/images/scene_cam_01_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_048_007/images/scene_cam_01_final_preview/frame.0035.color.jpg,hypersim_data/ai_048_007/images/scene_cam_01_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_048_007/images/scene_cam_01_geometry_hdf5/frame.0035.semantic.hdf5
6,6,hypersim_data/ai_027_003/images/scene_cam_03_geometry_hdf5/frame.0060.depth_meters.hdf5,hypersim_data/ai_027_003/images/scene_cam_03_final_preview/frame.0060.color.jpg,hypersim_data/ai_027_003/images/scene_cam_03_geometry_hdf5/frame.0060.semantic_instance.hdf5,hypersim_data/ai_027_003/images/scene_cam_03_geometry_hdf5/frame.0060.semantic.hdf5
7,7,hypersim_data/ai_042_002/images/scene_cam_00_geometry_hdf5/frame.0045.depth_meters.hdf5,hypersim_data/ai_042_002/images/scene_cam_00_final_preview/frame.0045.color.jpg,hypersim_data/ai_042_002/images/scene_cam_00_geometry_hdf5/frame.0045.semantic_instance.hdf5,hypersim_data/ai_042_002/images/scene_cam_00_geometry_hdf5/frame.0045.semantic.hdf5
8,8,hypersim_data/ai_044_007/images/scene_cam_01_geometry_hdf5/frame.0020.depth_meters.hdf5,hypersim_data/ai_044_007/images/scene_cam_01_final_preview/frame.0020.color.jpg,hypersim_data/ai_044_007/images/scene_cam_01_geometry_hdf5/frame.0020.semantic_instance.hdf5,hypersim_data/ai_044_007/images/scene_cam_01_geometry_hdf5/frame.0020.semantic.hdf5
9,9,hypersim_data/ai_036_002/images/scene_cam_00_geometry_hdf5/frame.0075.depth_meters.hdf5,hypersim_data/ai_036_002/images/scene_cam_00_final_preview/frame.0075.color.jpg,hypersim_data/ai_036_002/images/scene_cam_00_geometry_hdf5/frame.0075.semantic_instance.hdf5,hypersim_data/ai_036_002/images/scene_cam_00_geometry_hdf5/frame.0075.semantic.hdf5
